"","state","numcol","yieldpercol","totalprod","stocks","priceperlb","prodvalue","year","consumption"
"432","GA",65000,71,4615000,369000,1.52,7015000,2008,4246000
"433","HI",10000,90,9e+05,225000,1.59,1431000,2008,675000
"434","ID",90000,40,3600000,1440000,1.46,5256000,2008,2160000
"435","IL",8000,56,448000,116000,2.59,1160000,2008,332000
"436","IN",7000,67,469000,150000,1.68,788000,2008,319000
"437","IA",24000,62,1488000,580000,1.58,2351000,2008,908000
"438","KS",10000,61,610000,128000,1.55,946000,2008,482000
"439","KY",4000,39,156000,27000,2.44,381000,2008,129000
"440","LA",40000,77,3080000,493000,1.36,4189000,2008,2587000
"441","ME",7000,42,294000,79000,1.57,462000,2008,215000
"442","MI",71000,73,5183000,2021000,1.44,7464000,2008,3162000
"443","MN",122000,78,9516000,2569000,1.39,13227000,2008,6947000
"444","MS",14000,98,1372000,110000,1.3,1784000,2008,1262000
"445","MO",11000,53,583000,152000,1.68,979000,2008,431000
"446","MT",134000,70,9380000,4596000,1.37,12851000,2008,4784000
"447","NE",36000,67,2412000,1254000,1.45,3497000,2008,1158000
"448","NV",10000,29,290000,52000,1.42,412000,2008,238000
"449","NJ",9000,40,360000,122000,1.62,583000,2008,238000
"450","NM",6000,48,288000,95000,1.48,426000,2008,193000
"451","NY",50000,70,3500000,1260000,1.65,5775000,2008,2240000
"452","NC",12000,52,624000,137000,2.18,1360000,2008,487000
"453","ND",4e+05,90,3.6e+07,8640000,1.36,48960000,2008,27360000
"454","OH",14000,53,742000,371000,1.68,1247000,2008,371000
"455","OR",50000,43,2150000,1097000,1.41,3032000,2008,1053000
"456","PA",23000,48,1104000,276000,1.65,1822000,2008,828000
"457","SD",225000,95,21375000,11970000,1.34,28643000,2008,9405000
"458","TN",7000,61,427000,149000,2.09,892000,2008,278000
"459","TX",77000,64,4928000,1380000,1.34,6604000,2008,3548000
"460","UT",28000,48,1344000,242000,1.57,2110000,2008,1102000
"461","VT",5000,66,330000,119000,2.2,726000,2008,211000
"462","VA",6000,42,252000,45000,2.42,610000,2008,207000
"463","WA",49000,44,2156000,862000,1.51,3256000,2008,1294000
"464","WV",6000,43,258000,49000,2.16,557000,2008,209000
"465","WI",58000,80,4640000,2366000,1.5,6960000,2008,2274000
"466","WY",39000,61,2379000,381000,1.37,3259000,2008,1998000
"467","AL",9000,50,450000,68000,1.86,837000,2009,382000
"468","AZ",20000,52,1040000,562000,1.45,1508000,2009,478000
"469","AR",24000,57,1368000,301000,1.42,1943000,2009,1067000
"470","CA",355000,33,11715000,2109000,1.39,16284000,2009,9606000
"471","CO",28000,53,1484000,326000,1.43,2122000,2009,1158000
"472","FL",170000,68,11560000,1618000,1.42,16415000,2009,9942000
"473","GA",65000,41,2665000,346000,1.47,3918000,2009,2319000
"474","HI",10000,95,950000,323000,1.76,1672000,2009,627000
"475","ID",103000,46,4738000,1706000,1.52,7202000,2009,3032000
"476","IL",8000,34,272000,57000,2.55,694000,2009,215000
"477","IN",9000,32,288000,101000,2.02,582000,2009,187000
"478","IA",26000,42,1092000,339000,1.6,1747000,2009,753000
"479","KS",9000,63,567000,164000,1.85,1049000,2009,403000
"480","KY",5000,35,175000,25000,2.71,474000,2009,150000
"481","LA",37000,103,3811000,610000,1.36,5183000,2009,3201000
"482","ME",6000,50,3e+05,51000,1.95,585000,2009,249000
"483","MI",66000,60,3960000,1505000,1.55,6138000,2009,2455000
"484","MN",122000,65,7930000,1427000,1.44,11419000,2009,6503000
"485","MS",14000,104,1456000,87000,1.32,1922000,2009,1369000
"486","MO",11000,47,517000,57000,1.99,1029000,2009,460000
"487","MT",146000,70,10220000,3577000,1.46,14921000,2009,6643000
"488","NE",48000,56,2688000,1102000,1.46,3924000,2009,1586000
"489","NJ",11000,32,352000,70000,2.36,831000,2009,282000
"490","NM",7000,60,420000,143000,1.59,668000,2009,277000
"491","NY",45000,65,2925000,936000,1.93,5645000,2009,1989000
"492","NC",11000,45,495000,84000,2.57,1272000,2009,411000
"493","ND",450000,77,34650000,7623000,1.38,47817000,2009,27027000
"494","OH",11000,50,550000,132000,2.81,1546000,2009,418000
"495","OR",55000,34,1870000,767000,1.54,2880000,2009,1103000
"496","PA",21000,40,840000,319000,2.03,1705000,2009,521000
"497","SD",270000,66,17820000,6237000,1.42,25304000,2009,11583000
"498","TN",7000,51,357000,86000,2.37,846000,2009,271000
"499","TX",89000,63,5607000,1065000,1.39,7794000,2009,4542000
"500","UT",26000,38,988000,198000,1.46,1442000,2009,790000
"501","VT",5000,49,245000,69000,2.01,492000,2009,176000
"502","VA",6000,39,234000,56000,3.45,807000,2009,178000
"503","WA",62000,44,2728000,1064000,1.58,4310000,2009,1664000
"504","WV",5000,37,185000,33000,2.6,481000,2009,152000
"505","WI",63000,60,3780000,1588000,1.58,5972000,2009,2192000
"506","WY",37000,48,1776000,391000,1.43,2540000,2009,1385000
"507","AL",9000,54,486000,73000,2.4,1166000,2010,413000
"508","AZ",24000,77,1848000,665000,1.52,2809000,2010,1183000
"509","AR",25000,60,1500000,360000,1.47,2205000,2010,1140000
"510","CA",410000,67,27470000,6318000,1.55,42579000,2010,21152000
"511","CO",34000,56,1904000,533000,1.52,2894000,2010,1371000
"512","FL",2e+05,69,13800000,1794000,1.56,21528000,2010,12006000
"513","GA",55000,46,2530000,152000,1.67,4225000,2010,2378000
"514","HI",10000,77,770000,239000,2.75,2118000,2010,531000
"515","ID",97000,27,2619000,1179000,1.61,4217000,2010,1440000
"516","IL",9000,41,369000,92000,2.78,1026000,2010,277000
"517","IN",10000,43,430000,151000,2.23,959000,2010,279000
"518","IA",27000,49,1323000,463000,1.92,2540000,2010,860000
"519","KS",9000,52,468000,103000,2.02,945000,2010,365000
"520","KY",5000,67,335000,67000,2.72,911000,2010,268000
"521","LA",36000,80,2880000,288000,1.5,4320000,2010,2592000
"522","ME",5000,41,205000,33000,2.05,420000,2010,172000
"523","MI",71000,58,4118000,1524000,1.67,6877000,2010,2594000
"524","MN",128000,66,8448000,1774000,1.55,13094000,2010,6674000
"525","MS",16000,98,1568000,78000,1.44,2258000,2010,1490000
"526","MO",11000,52,572000,92000,1.8,1030000,2010,480000
"527","MT",157000,74,11618000,2905000,1.58,18356000,2010,8713000
"528","NE",41000,55,2255000,902000,1.51,3405000,2010,1353000
"529","NJ",13000,35,455000,73000,1.9,865000,2010,382000
"530","NM",7000,66,462000,157000,1.58,730000,2010,305000
"531","NY",45000,64,2880000,1123000,1.96,5645000,2010,1757000
"532","NC",13000,46,598000,144000,2.66,1591000,2010,454000
"533","ND",510000,91,46410000,12995000,1.5,69615000,2010,33415000
"534","OH",18000,62,1116000,346000,2.28,2544000,2010,770000
"535","OR",59000,39,2301000,874000,1.63,3751000,2010,1427000
"536","PA",30000,37,1110000,377000,2.13,2364000,2010,733000
"537","SD",265000,58,15370000,4765000,1.51,23209000,2010,10605000
"538","TN",8000,63,504000,106000,2.5,1260000,2010,398000
"539","TX",1e+05,72,7200000,792000,1.51,10872000,2010,6408000
"540","UT",26000,30,780000,195000,1.53,1193000,2010,585000
"541","VT",4000,65,260000,73000,3.1,806000,2010,187000
"542","VA",5000,37,185000,37000,3.32,614000,2010,148000
"543","WA",71000,37,2627000,1077000,1.57,4124000,2010,1550000
"544","WV",5000,40,2e+05,40000,2.39,478000,2010,160000
"545","WI",64000,64,4096000,1556000,1.68,6881000,2010,2540000
"546","WY",34000,36,1224000,282000,1.59,1946000,2010,942000
"547","AL",9000,50,450000,63000,2.51,1130000,2011,387000
"548","AZ",23000,53,1219000,427000,1.55,1889000,2011,792000
"549","AR",22000,64,1408000,239000,1.62,2281000,2011,1169000
"550","CA",370000,48,17760000,3730000,1.65,29304000,2011,14030000
"551","CO",31000,55,1705000,443000,2,3410000,2011,1262000
"552","FL",180000,61,10980000,988000,1.68,18446000,2011,9992000
"553","GA",65000,43,2795000,196000,1.65,4612000,2011,2599000
"554","HI",9000,74,666000,246000,3.65,2431000,2011,420000
"555","ID",87000,36,3132000,1879000,1.78,5575000,2011,1253000
"556","IL",7000,50,350000,98000,3.9,1365000,2011,252000
"557","IN",8000,51,408000,147000,2.14,873000,2011,261000
"558","IA",25000,62,1550000,961000,1.96,3038000,2011,589000
"559","KS",7000,44,308000,117000,2.15,662000,2011,191000
"560","KY",4000,39,156000,12000,3.17,495000,2011,144000
"561","LA",36000,77,2772000,471000,1.67,4629000,2011,2301000
"562","ME",4000,30,120000,17000,1.98,238000,2011,103000
"563","MI",74000,64,4736000,2084000,1.81,8572000,2011,2652000
"564","MN",120000,53,6360000,2099000,1.63,10367000,2011,4261000
"565","MS",18000,115,2070000,104000,1.53,3167000,2011,1966000
"566","MO",8000,43,344000,76000,2.14,736000,2011,268000
"567","MT",145000,92,13340000,3202000,1.7,22678000,2011,10138000
"568","NE",41000,59,2419000,653000,1.75,4233000,2011,1766000
"569","NJ",11000,41,451000,135000,3.7,1669000,2011,316000
"570","NM",7000,56,392000,153000,1.69,662000,2011,239000
"571","NY",49000,56,2744000,1235000,1.96,5378000,2011,1509000
"572","NC",14000,62,868000,95000,2.83,2456000,2011,773000
"573","ND",460000,71,32660000,7512000,1.67,54542000,2011,25148000
"574","OH",15000,66,990000,228000,2.34,2317000,2011,762000
"575","OR",60000,34,2040000,755000,1.68,3427000,2011,1285000
"576","PA",24000,44,1056000,306000,2.55,2693000,2011,750000
"577","SD",250000,66,16500000,4290000,1.7,28050000,2011,12210000
"578","TN",7000,44,308000,68000,2.93,902000,2011,240000
"579","TX",78000,58,4524000,633000,1.78,8053000,2011,3891000
"580","UT",23000,39,897000,170000,1.75,1570000,2011,727000
"581","VT",4000,43,172000,43000,2.31,397000,2011,129000
"582","VA",4000,40,160000,21000,4.07,651000,2011,139000
"583","WA",71000,38,2698000,836000,1.93,5207000,2011,1862000
"584","WV",4000,53,212000,45000,2.57,545000,2011,167000
"585","WI",57000,63,3591000,1508000,1.89,6787000,2011,2083000
"586","WY",35000,54,1890000,265000,1.72,3251000,2011,1625000
"587","AL",8000,54,432000,65000,2.47,1067000,2012,367000
"588","AZ",22000,46,1012000,253000,1.79,1811000,2012,759000
"589","AR",25000,63,1575000,189000,1.98,3119000,2012,1386000
"590","CA",330000,35,11550000,3119000,1.94,22407000,2012,8431000
"591","CO",25000,48,1200000,468000,2.07,2484000,2012,732000
"592","FL",193000,64,12352000,1235000,1.84,22728000,2012,11117000
"593","GA",59000,51,3009000,181000,1.92,5777000,2012,2828000
"594","HI",10000,75,750000,263000,4.15,3113000,2012,487000
"595","ID",92000,32,2944000,530000,1.63,4799000,2012,2414000
"596","IL",7000,61,427000,145000,3.55,1516000,2012,282000
"597","IN",8000,59,472000,203000,2.54,1199000,2012,269000
"598","IA",37000,61,2257000,1196000,2.17,4898000,2012,1061000
"599","KS",6000,55,330000,125000,2.28,752000,2012,205000
"600","KY",5000,51,255000,41000,3.15,803000,2012,214000
"601","LA",41000,86,3526000,141000,1.83,6453000,2012,3385000
"602","ME",4000,34,136000,24000,2.39,325000,2012,112000
"603","MI",73000,57,4161000,1332000,2.03,8447000,2012,2829000
"604","MN",125000,67,8375000,1591000,1.92,16080000,2012,6784000
"605","MS",18000,118,2124000,64000,1.77,3759000,2012,2060000
"606","MO",7000,53,371000,108000,2.8,1039000,2012,263000
"607","MT",145000,52,7540000,2413000,1.95,14703000,2012,5127000
"608","NE",43000,65,2795000,1146000,1.93,5394000,2012,1649000
"609","NJ",14000,33,462000,51000,1.97,910000,2012,411000
"610","NM",5000,52,260000,99000,3.39,881000,2012,161000
"611","NY",51000,51,2601000,988000,2.23,5800000,2012,1613000
"612","NC",13000,39,507000,106000,3.76,1906000,2012,401000
"613","ND",480000,69,33120000,5962000,1.92,63590000,2012,27158000
"614","OH",18000,60,1080000,410000,2.46,2657000,2012,670000
"615","OR",60000,32,1920000,845000,2.16,4147000,2012,1075000
"616","PA",16000,60,960000,269000,2.57,2467000,2012,691000
"617","SD",260000,63,16380000,3604000,1.95,31941000,2012,12776000
"618","TN",6000,61,366000,59000,2.93,1072000,2012,307000
"619","TX",92000,52,4784000,718000,2,9568000,2012,4066000
"620","UT",25000,38,950000,209000,1.87,1777000,2012,741000
"621","VT",4000,60,240000,53000,2.39,574000,2012,187000
"622","VA",4000,41,164000,23000,3.77,618000,2012,141000
"623","WA",62000,41,2542000,1017000,2.38,6050000,2012,1525000
"624","WV",6000,48,288000,95000,2.91,838000,2012,193000
"625","WI",60000,69,4140000,1863000,2.05,8487000,2012,2277000
"626","WY",50000,51,2550000,459000,1.87,4769000,2012,2091000
